URL;UR;Scheme;HTTP Status Code;HTTP Error Message;Content Type;Crawl Status;Crawl Depth;Crawl Source;URL Source;First Parent URL;No. Internal Linking URLs;Indexable;Indexable Status
https://www.sfu.edu.hk/en/programmes/bachelor-s-degree-programmes/bachelor-of-nursing-honours/introduction/index.html;58;https;200;None;HTML;Success;1;Crawler;Anchor;https://www.sfu.edu.hk/en/home/index.html;8;Yes;Indexable
https://www.sfu.edu.hk/en/programmes/bachelor-s-degree-programmes/bachelor-of-nursing-honours-applied-degree-places-/introduction/index.html;20;https;200;None;HTML;Success;1;Crawler;Anchor;https://www.sfu.edu.hk/en/home/index.html;3;Yes;Indexable
https://www.sfu.edu.hk/en/programmes/bachelor-s-degree-programmes/bachelor-of-science-honours-in-artificial-intelligence/introduction/index.html;80;https;200;None;HTML;Success;1;Crawler;Anchor;https://www.sfu.edu.hk/en/home/index.html;12;Yes;Indexable
https://www.sfu.edu.hk/en/programmes/bachelor-s-degree-programmes/bachelor-of-science-honours-in-artificial-intelligence-part-time-/introduction/index.html;5;https;200;None;HTML;Success;2;Crawler;Anchor;https://www.sfu.edu.hk/en/programmes/index.html;1;Yes;Indexable
https://www.sfu.edu.hk/en/programmes/bachelor-s-degree-programmes/bachelor-of-science-honours-in-digital-entertainment-technology/introduction/index.html;65;https;200;None;HTML;Success;1;Crawler;Anchor;https://www.sfu.edu.hk/en/home/index.html;9;Yes;Indexable
https://www.sfu.edu.hk/en/programmes/bachelor-s-degree-programmes/bachelor-of-science-honours-in-digital-entertainment-technology-part-time-/introduction/index.html;5;https;200;None;HTML;Success;2;Crawler;Anchor;https://www.sfu.edu.hk/en/programmes/index.html;1;Yes;Indexable
https://www.sfu.edu.hk/en/programmes/bachelor-s-degree-programmes/bachelor-of-science-honours-in-physiotherapy/introduction/index.html;73;https;200;None;HTML;Success;1;Crawler;Anchor;https://www.sfu.edu.hk/en/home/index.html;11;Yes;Indexable
https://www.sfu.edu.hk/en/programmes/bachelor-s-degree-programmes/bachelor-of-social-sciences-honours/introduction/index.html;35;https;200;None;HTML;Success;1;Crawler;Anchor;https://www.sfu.edu.hk/en/home/index.html;5;Yes;Indexable
https://www.sfu.edu.hk/en/programmes/bachelor-s-degree-programmes/bachelor-of-social-sciences-honours/programme-structure/index.html;20;https;200;None;HTML;Success;1;Crawler;Anchor;https://www.sfu.edu.hk/en/home/index.html;3;Yes;Indexable
https://www.sfu.edu.hk/en/programmes/bachelor-s-degree-programmes/bachelor-of-social-work-honours-part-time-conversion-programme/introduction/index.html;20;https;200;None;HTML;Success;1;Crawler;Anchor;https://www.sfu.edu.hk/en/home/index.html;3;Yes;Indexable
https://www.sfu.edu.hk/en/programmes/index.html;13;https;200;None;HTML;Success;1;Crawler;Anchor;https://www.sfu.edu.hk/en/home/index.html;2;Yes;Indexable
https://www.sfu.edu.hk/en/programmes/master-s-degree-programmes/master-in-nursing-and-allied-health/introduction/index.html;28;https;200;None;HTML;Success;2;Crawler;Anchor;https://www.sfu.edu.hk/en/programmes/index.html;4;Yes;Indexable
https://www.sfu.edu.hk/en/programmes/master-s-degree-programmes/master-of-corporate-governance-part-time-/introduction/index.html;35;https;200;None;HTML;Success;1;Crawler;Anchor;https://www.sfu.edu.hk/en/home/index.html;5;Yes;Indexable
https://www.sfu.edu.hk/en/programmes/master-s-degree-programmes/postgraduate-certificate-in-nursing-and-allied-health/introduction/index.html;5;https;200;None;HTML;Success;2;Crawler;Anchor;https://www.sfu.edu.hk/en/programmes/index.html;1;Yes;Indexable
https://www.sfu.edu.hk/en/programmes/master-s-degree-programmes/postgraduate-diploma-in-nursing-and-allied-health/introduction/index.html;5;https;200;None;HTML;Success;2;Crawler;Anchor;https://www.sfu.edu.hk/en/programmes/index.html;1;Yes;Indexable
https://www.sfu.edu.hk/en/programmes/master-s-degree-programmes/postgraduate-diploma-in-private-banking-and-family-office/introduction/index.html;43;https;200;None;HTML;Success;1;Crawler;Anchor;https://www.sfu.edu.hk/en/home/index.html;6;Yes;Indexable
https://www.sfu.edu.hk/en/programmes/professional-diploma-diploma-programmes/diploma-in-health-sciences-/introduction-/index.html;5;https;200;None;HTML;Success;2;Crawler;Anchor;https://www.sfu.edu.hk/en/programmes/index.html;1;Yes;Indexable
https://www.sfu.edu.hk/en/programmes/professional-diploma-diploma-programmes/professional-diploma-in-property-management/introduction/index.html;13;https;200;None;HTML;Success;2;Crawler;Anchor;https://www.sfu.edu.hk/en/programmes/index.html;2;Yes;Indexable
https://www.sfu.edu.hk/en/programmes/programme-offered-by-caritas-bianchi-college-of-careers/associate-degree-in-business/introduction/index.html;5;https;404;None;HTML;Not Found;3;Crawler;Anchor;https://www.sfu.edu.hk/en/student-support/scholarships-and-financial-assistance/internal-articulation-scholarships/index.html;1;No;Not Found
https://www.sfu.edu.hk/en/programmes/programme-offered-by-caritas-bianchi-college-of-careers/diploma-in-foundation-studies-of-higher-education/introduction/index.html;5;https;200;None;HTML;Success;3;Crawler;Anchor;https://www.sfu.edu.hk/en/programmes/programme-offered-by-caritas-bianchi-college-of-careers/index.html;1;Yes;Indexable
https://www.sfu.edu.hk/en/programmes/programme-offered-by-caritas-bianchi-college-of-careers/diploma-in-health-sciences-/introduction-/index.html;5;https;404;None;HTML;Not Found;3;Crawler;Anchor;https://www.sfu.edu.hk/en/media/media-coverage/index_id_922.html;1;No;Not Found
https://www.sfu.edu.hk/en/programmes/programme-offered-by-caritas-bianchi-college-of-careers/higher-diploma-in-design/introduction/index.html;13;https;200;None;HTML;Success;3;Crawler;Anchor;https://www.sfu.edu.hk/en/programmes/programme-offered-by-caritas-bianchi-college-of-careers/index.html;2;Yes;Indexable
https://www.sfu.edu.hk/en/programmes/programme-offered-by-caritas-bianchi-college-of-careers/higher-diploma-in-film-and-media-production/introduction/index.html;28;https;200;None;HTML;Success;3;Crawler;Anchor;https://www.sfu.edu.hk/en/programmes/programme-offered-by-caritas-bianchi-college-of-careers/index.html;4;Yes;Indexable
https://www.sfu.edu.hk/en/programmes/programme-offered-by-caritas-bianchi-college-of-careers/higher-diploma-in-health-care-full-time-part-time/introduction-/index.html;13;https;404;None;HTML;Not Found;3;Crawler;Anchor;https://www.sfu.edu.hk/en/media/media-coverage/index_id_922.html;2;No;Not Found
https://www.sfu.edu.hk/en/programmes/programme-offered-by-caritas-bianchi-college-of-careers/higher-diploma-in-hospitality-management/introduction/index.html;5;https;404;None;HTML;Not Found;3;Crawler;Anchor;https://www.sfu.edu.hk/en/student-support/scholarships-and-financial-assistance/internal-articulation-scholarships/index.html;1;No;Not Found
https://www.sfu.edu.hk/en/programmes/programme-offered-by-caritas-bianchi-college-of-careers/higher-diploma-in-human-services/introduction/index.html;13;https;404;None;HTML;Not Found;3;Crawler;Anchor;https://www.sfu.edu.hk/en/student-support/scholarships-and-financial-assistance/internal-articulation-scholarships/index.html;2;No;Not Found
https://www.sfu.edu.hk/en/programmes/programme-offered-by-caritas-bianchi-college-of-careers/higher-diploma-in-music-studies/introduction/index.html;13;https;200;None;HTML;Success;3;Crawler;Anchor;https://www.sfu.edu.hk/en/programmes/programme-offered-by-caritas-bianchi-college-of-careers/index.html;2;Yes;Indexable
https://www.sfu.edu.hk/en/programmes/programme-offered-by-caritas-bianchi-college-of-careers/higher-diploma-in-pharmaceutical-dispensing-full-time-part-time/introduction/index.html;5;https;404;None;HTML;Not Found;3;Crawler;Anchor;https://www.sfu.edu.hk/en/media/media-coverage/index_id_922.html;1;No;Not Found
https://www.sfu.edu.hk/en/programmes/programme-offered-by-caritas-bianchi-college-of-careers/higher-diploma-in-translation-technology-and-modern-languages/introduction/index.html;13;https;200;None;HTML;Success;3;Crawler;Anchor;https://www.sfu.edu.hk/en/programmes/programme-offered-by-caritas-bianchi-college-of-careers/index.html;2;Yes;Indexable
https://www.sfu.edu.hk/en/programmes/programme-offered-by-caritas-bianchi-college-of-careers/index.html;5;https;200;None;HTML;Success;2;Crawler;Anchor;https://www.sfu.edu.hk/en/programmes/index.html;1;Yes;Indexable
https://www.sfu.edu.hk/en/programmes/sub-degree-programmes/associate-degree-in-business/introduction/index.html;13;https;200;None;HTML;Success;2;Crawler;Anchor;https://www.sfu.edu.hk/en/programmes/index.html;2;Yes;Indexable
https://www.sfu.edu.hk/en/programmes/sub-degree-programmes/higher-diploma-in-artificial-intelligence-and-information-and-communication-technology/introduction/index.html;28;https;200;None;HTML;Success;1;Crawler;Anchor;https://www.sfu.edu.hk/en/home/index.html;4;Yes;Indexable
https://www.sfu.edu.hk/en/programmes/sub-degree-programmes/higher-diploma-in-crime-and-security-science/introduction/index.html;35;https;200;None;HTML;Success;2;Crawler;Anchor;https://www.sfu.edu.hk/en/programmes/index.html;5;Yes;Indexable
https://www.sfu.edu.hk/en/programmes/sub-degree-programmes/higher-diploma-in-early-childhood-education/introduction/index.html;28;https;200;None;HTML;Success;1;Crawler;Anchor;https://www.sfu.edu.hk/en/home/index.html;4;Yes;Indexable
https://www.sfu.edu.hk/en/programmes/sub-degree-programmes/higher-diploma-in-enrolled-nursing-general-/introduction/index.html;28;https;200;None;HTML;Success;1;Crawler;Anchor;https://www.sfu.edu.hk/en/home/index.html;4;Yes;Indexable
